Camera, Image File Name, Description,Image Location - Easting Coordinate*,Image Location - Northing Coordinate*,URL,,,,,
K602F, K602F.JPG, Lei Yue Mun Road near Cha Kwo Ling Road,841675,818988,http://tdcctv.data.one.gov.hk/K602F.JPG,"22.514650986, 114.008920847",22.514650986,114.008920847,114.229351,22.30985528
K607F, K607F.JPG, Sau Mau Ping Road near Hip Wo Street,841327,820562,http://tdcctv.data.one.gov.hk/K607F.JPG,"22.511523651, 114.024222801",22.511523651,114.024222801,114.2259785,22.32407049
K613F, K613F.JPG, Kai Cheung Road near Wang Chiu Road,839535,820747,http://tdcctv.data.one.gov.hk/K613F.JPG,"22.495342944, 114.026038416",22.495342944,114.026038416,114.2085852,22.32574549
K614F, K614F.JPG, Lung Cheung Road/Clear Water Bay Road,839495,821701,http://tdcctv.data.one.gov.hk/K614F.JPG,"22.494990139, 114.035309912",22.494990139,114.035309912,114.2081989,22.33436074
K621F, K621F.JPG, Kwun Tong Road near Kai Yip Estate,839923,821103,http://tdcctv.data.one.gov.hk/K621F.JPG,"22.498849927, 114.029494371",22.498849927,114.029494371,114.2123521,22.3289596
K627F, K627F.JPG, Clear Water Bay Road near Fei Ngo Shan Road,840990,821665,http://tdcctv.data.one.gov.hk/K627F.JPG,"22.508490224, 114.034946288",22.508490224,114.034946288,114.2227107,22.33403218
K802F, K802F.JPG, Ching Cheung Road near Caritas Medical Center,833946,822627,http://tdcctv.data.one.gov.hk/K802F.JPG,"22.444888089, 114.044356572",22.444888089,114.044356572,114.1543334,22.34272453
K804F, K804F.JPG, Lung Cheung Road near Chak On Estate,834977,822541,http://tdcctv.data.one.gov.hk/K804F.JPG,"22.454197769, 114.043512212",22.454197769,114.043512212,114.1643419,22.34194898
K809F2, K809F2.JPG, Kwun Tong Road near Kowloon Bay MTR Station,840175,820079,http://tdcctv.data.one.gov.hk/K809F2.JPG,"22.501116169, 114.019540151",22.501116169,114.019540151,114.2147957,22.31971172
K810F, K810F.JPG, Kwun Tong Road near Ngua Tau Kok MTR Station,840743,819523,http://tdcctv.data.one.gov.hk/K810F.JPG,"22.506240043, 114.014130631",22.506240043,114.014130631,114.2203071,22.31468933
K811F, K811F.JPG, Tseung Kwan O Road near Tsui Ping South Estate,842195,819230,http://tdcctv.data.one.gov.hk/K811F.JPG,"22.519349196, 114.011267373",22.519349196,114.011267373,114.2343986,22.31203897
K812F, K812F.JPG, Kwun Tong Bypass near Laguna City,841658,818874,http://tdcctv.data.one.gov.hk/K812F.JPG,"22.514496311, 114.007813010",22.514496311,114.007813010,114.2291856,22.30882585
K813F, K813F.JPG, Kwun Tong Bypass near Lai Yip Street,840416,819283,http://tdcctv.data.one.gov.hk/K813F.JPG,"22.503284746, 114.011801595",22.503284746,114.011801595,114.2171327,22.3125228
K814F, K814F.JPG, Kwun Tong Bypass near Kai Cheung Road,839093,820705,http://tdcctv.data.one.gov.hk/K814F.JPG,"22.491351139, 114.025634590",22.491351139,114.025634590,114.2042949,22.32536699
K816F, K816F.JPG, West Kowloon Corridor near Nam Cheong Estate,834690,820692,http://tdcctv.data.one.gov.hk/K816F.JPG,"22.451590200, 114.025551444",22.451590200,114.025551444,114.1615577,22.3252512
K911F, K911F.JPG, West Kowloon Hwy - Yau Ma Tei Interchange N,834613,819573,http://tdcctv.data.one.gov.hk/K911F.JPG,"22.450884302, 114.014681049",22.450884302,114.014681049,114.1608115,22.3151459
K914F, K914F.JPG, West Kowloon Highway near Lai Wan Interchange,832783,821350,http://tdcctv.data.one.gov.hk/K914F.JPG,"22.434375040, 114.031961873",22.434375040,114.031961873,114.1430462,22.33119052
TK101F, TK101F.JPG, Po Lam Road North near Po Hong Road,843959,820807,http://tdcctv.data.one.gov.hk/TK101F.JPG,"22.535293733, 114.026578326",22.535293733,114.026578326,114.2515266,22.32627323
TK105F, TK105F.JPG, Po Shun Road near Tseung Kwan O Swimming Pool,844972,819827,http://tdcctv.data.one.gov.hk/TK105F.JPG,"22.544432263, 114.017041264",22.544432263,114.017041264,114.2613539,22.31741843
TK110F, TK110F.JPG, Chui Ling Road near Po Shun Road,844372,818516,http://tdcctv.data.one.gov.hk/TK110F.JPG,"22.539000914, 114.004302997",22.539000914,114.004302997,114.2555238,22.30558225
TK904F, TK904F.JPG, Tseung Kwan O Tunnel - Tseung Kwan O Side,844296,820178,http://tdcctv.data.one.gov.hk/TK904F.JPG,"22.538331125, 114.020460419",22.538331125,114.020460419,114.2547945,22.32059145
NL121F, NL121F.JPG, North Lantau Highway near Sunny Bay,820149,820655,http://tdcctv.data.one.gov.hk/NL121F.JPG,"22.320277534, 114.025334252",22.320277534,114.025334252,114.0204179,22.32484233
NL124F, NL124F.JPG, North Lantau Highway near Siu Ho Wan,817086,819027,http://tdcctv.data.one.gov.hk/NL124F.JPG,"22.292601365, 114.009565843",22.292601365,114.009565843,113.990707,22.31010919
NL126F, NL126F.JPG, North Lantau Highway near Pak Mong,814546,817693,http://tdcctv.data.one.gov.hk/NL126F.JPG,"22.269649806, 113.996650002",22.269649806,113.996650002,113.9660737,22.29803228
NL128F, NL128F.JPG, North Lantau Highway near Tung Chung,812639,816709,http://tdcctv.data.one.gov.hk/NL128F.JPG,"22.252417564, 113.987125969",22.252417564,113.987125969,113.9475819,22.28912112
PB106F, PB106F.JPG, Penny's Bay Highway,821740,820686,http://tdcctv.data.one.gov.hk/PB106F.JPG,"22.334645425, 114.025619655",22.334645425,114.025619655,114.0358604,22.32513644
TC560F, TC560F.JPG, Tsing Ma Bridge,825674,823558,http://tdcctv.data.one.gov.hk/TC560F.JPG,"22.370195170, 114.053466875",22.370195170,114.053466875,114.0740261,22.35110092
TR103F, TR103F.JPG, Tuen Mun Road - Yau Kom Tau Section,827366,825737,http://tdcctv.data.one.gov.hk/TR103F.JPG,"22.385489544, 114.074612646",22.385489544,114.074612646,114.0904402,22.37078805
TR107F, TR107F.JPG, Tuen Mun Road - Sham Tseng Section,825046,825201,http://tdcctv.data.one.gov.hk/TR107F.JPG,"22.364535373, 114.069423879",22.364535373,114.069423879,114.0679179,22.3659341
TR111F, TR111F.JPG, Tuen Mun Road - near Tsing Lung Tau,822317,825036,http://tdcctv.data.one.gov.hk/TR111F.JPG,"22.339889955, 114.067841050",22.339889955,114.067841050,114.041423,22.36442407
TR116F, TR116F.JPG, Tuen Mun Road - Siu Lam Section,818125,825508,http://tdcctv.data.one.gov.hk/TR116F.JPG,"22.302036793, 114.072451086",22.302036793,114.072451086,114.0007173,22.3686473
SM936F, SM936F.JPG, Cheung Pei Shan Road,831216,826537,http://tdcctv.data.one.gov.hk/SM936F.JPG,"22.420261649, 114.082357576",22.420261649,114.082357576,114.1278193,22.37802811
TC101F, TC101F.JPG, Cheung Tsing Bridge,829564,823296,http://tdcctv.data.one.gov.hk/TC101F.JPG,"22.405321840, 114.050891373",22.405321840,114.050891373,114.1117919,22.34875448
TC302F, TC302F.JPG, Cheung Tsing Highway near Kam Chuk Kok,827593,822839,http://tdcctv.data.one.gov.hk/TC302F.JPG,"22.387519236, 114.046469631",22.387519236,114.046469631,114.09266,22.3446187
TW102F, TW102F.JPG, Kwai Chung Road near Container Terminal,831675,822441,http://tdcctv.data.one.gov.hk/TW102F.JPG,"22.424378465, 114.042569379",22.424378465,114.042569379,114.132288,22.34104028
TW103F, TW103F.JPG, Tsuen Wan Road near Tsuen Tsing Interchange,830393,824630,http://tdcctv.data.one.gov.hk/TW103F.JPG,"22.412817680, 114.063840999",22.412817680,114.063840999,114.119835,22.36080427
TW105F, TW105F.JPG, Kwai Tsing Road near Tsing Yi Bridge,830749,824045,http://tdcctv.data.one.gov.hk/TW105F.JPG,"22.416028455, 114.058156499",22.416028455,114.058156499,114.1232933,22.35552258
TW108F, TW108F.JPG, Kwai Chung Road near Kwai Hing MTR Station,831610,824699,http://tdcctv.data.one.gov.hk/TW108F.JPG,"22.423808225, 114.064502318",22.423808225,114.064502318,114.1316504,22.3614311
TW109F, TW109F.JPG, Castle Peak Road near Wo Yi Hop Road,831993,825116,http://tdcctv.data.one.gov.hk/TW109F.JPG,"22.427269657, 114.068550037",22.427269657,114.068550037,114.1353678,22.36519783
TW112F, TW112F.JPG, Wo Yi Hop Road near Lei Shu Road,832091,825877,http://tdcctv.data.one.gov.hk/TW112F.JPG,"22.428159429, 114.075941320",22.428159429,114.075941320,114.1363173,22.37207031
TW116F, TW116F.JPG, Texaco Road Flyover near Sha Tsui Road,830553,825335,http://tdcctv.data.one.gov.hk/TW116F.JPG,"22.414267199, 114.070687163",22.414267199,114.070687163,114.1213859,22.36717134
TW117F, TW117F.JPG, Castle Peak Road near Texaco Road North,830770,825684,http://tdcctv.data.one.gov.hk/TW117F.JPG,"22.416229002, 114.074075394",22.416229002,114.074075394,114.1234916,22.3703237
TW120F, TW120F.JPG, Tsuen Wan Road near Tai Chung Road,829235,825713,http://tdcctv.data.one.gov.hk/TW120F.JPG,"22.402367395, 114.074367227",22.402367395,114.074367227,114.1085874,22.37057999
TW121F, TW121F.JPG, Tsing Kwai Highway/Cheung Tsing Tunnel,829296,823288,http://tdcctv.data.one.gov.hk/TW121F.JPG,"22.402901612, 114.050815860",22.402901612,114.050815860,114.1091902,22.34868117
H421F, H421F.JPG, Aberdeen Tunnel - Aberdeen Side,836325,812440,http://tdcctv.data.one.gov.hk/H421F.JPG,"22.466259785, 113.945358046",22.466259785,113.945358046,114.1774273,22.25073117
K202F, K202F.JPG, Argyle Street near Yim Po Fong Street,835820,820088,http://tdcctv.data.one.gov.hk/K202F.JPG,"22.461788953, 114.019672015",22.461788953,114.019672015,114.1725261,22.31979739
K205F, K205F.JPG, Nathan Road near Lai Chi Kok Road,835420,820347,http://tdcctv.data.one.gov.hk/K205F.JPG,"22.458179223, 114.022192420",22.458179223,114.022192420,114.1686435,22.32213616
ST701F, ST701F.JPG, Tolo Highway near Sha Tin Sewage Treatment Works,839872,830033,http://tdcctv.data.one.gov.hk/ST701F.JPG,"22.498445369, 114.116280114",22.498445369,114.116280114,114.2118772,22.40960241
ST703F, ST703F.JPG, Tai Po Road near MTR Racecourse Station,838936,828954,http://tdcctv.data.one.gov.hk/ST703F.JPG,"22.489988639, 114.105798270",22.489988639,114.105798270,114.2027848,22.39986021
ST712F1, ST712F1.JPG, Tate's Cairn Highway near Shatin Hospital,839906,828893,http://tdcctv.data.one.gov.hk/ST712F1.JPG,"22.498747857, 114.105200974",22.498747857,114.105200974,114.2122048,22.39930757
ST714F, ST714F.JPG, Tate's Cairn Highway near Tai Shek Kwu,839712,827856,http://tdcctv.data.one.gov.hk/ST714F.JPG,"22.496991166, 114.095123996",22.496991166,114.095123996,114.2103186,22.38994333
ST715F, ST715F.JPG, Sha Lek Highway near Prince Wales Hospital,838818,826517,http://tdcctv.data.one.gov.hk/ST715F.JPG,"22.488910874, 114.082116689",22.488910874,114.082116689,114.2016349,22.37785302
ST721F, ST721F.JPG, Shatin Road near Yuen Chau Kok Park,838811,827270,http://tdcctv.data.one.gov.hk/ST721F.JPG,"22.488851796, 114.089434183",22.488851796,114.089434183,114.2015682,22.38465302
ST725F, ST725F.JPG, Lion Rock Tunnel Road near Sun Tin Wai Estate,837361,825546,http://tdcctv.data.one.gov.hk/ST725F.JPG,"22.475747763, 114.072690615",22.475747763,114.072690615,114.1874868,22.36908593
ST731F, ST731F.JPG, Ma On Shan Bypass near Heng On Estate,841532,830528,http://tdcctv.data.one.gov.hk/ST731F.JPG,"22.513437540, 114.121084716",22.513437540,114.121084716,114.2280012,22.4140682
ST732F, ST732F.JPG, Ma On Shan Bypass near Yiu On Estate,842035,830893,http://tdcctv.data.one.gov.hk/ST732F.JPG,"22.517981006, 114.124630612",22.517981006,114.124630612,114.2328879,22.4173627
SW109F, SW109F.JPG, Yuen Long Highway near Hung Tin Road,818100,832003,http://tdcctv.data.one.gov.hk/SW109F.JPG,"22.301839335, 114.135483577",22.301839335,114.135483577,114.0004006,22.4272999
SW111F, SW111F.JPG, Yuen Long Highway near Tong Yan San Tsuen Interchange,819442,833173,http://tdcctv.data.one.gov.hk/SW111F.JPG,"22.313960904, 114.146835550",22.313960904,114.146835550,114.0134236,22.43787922
SW112F, SW112F.JPG, Yuen Long Highway near Shap Pat Heung,821421,832797,http://tdcctv.data.one.gov.hk/SW112F.JPG,"22.331831723, 114.143181963",22.331831723,114.143181963,114.0326514,22.43450208
SW113F, SW113F.JPG, Yuen Long Highway near Pok Oi Interchange,822114,833747,http://tdcctv.data.one.gov.hk/SW113F.JPG,"22.338091565, 114.152402359",22.338091565,114.152402359,114.0393747,22.44308687
TI101F, TI101F.JPG, Castle Peak Road near Hung Shui Kiu,818090,832902,http://tdcctv.data.one.gov.hk/TI101F.JPG,"22.301751017, 114.144208171",22.301751017,114.144208171,114.0002932,22.43541815
TM101F, TM101F.JPG, Wu Chui Road near Wu King Road,814526,826116,http://tdcctv.data.one.gov.hk/TM101F.JPG,"22.269539288, 114.078374337",22.269539288,114.078374337,113.9657652,22.37409604
TM103F, TM103F.JPG, Lung Mun Road near Tuen Mun Recreation and Sports Centre,814447,827250,http://tdcctv.data.one.gov.hk/TM103F.JPG,"22.268832163, 114.089377430",22.268832163,114.089377430,113.9649826,22.38433558
TM118F, TM118F.JPG, Pui To Road near Tuen Mun Park,815352,828319,http://tdcctv.data.one.gov.hk/TM118F.JPG,"22.277010143, 114.099744890",22.277010143,114.099744890,113.9737565,22.39400041
TR704F, TR704F.JPG, Tuen Mun Road near Tsing Yin Street,815621,828752,http://tdcctv.data.one.gov.hk/TR704F.JPG,"22.279441323, 114.103945044",22.279441323,114.103945044,113.9763632,22.39791386
YL101F, YL101F.JPG, Long Tin Road near Long Ping Road,819746,834085,http://tdcctv.data.one.gov.hk/YL101F.JPG,"22.316707601, 114.155686636",22.316707601,114.155686636,114.0163672,22.44611792
YL106F, YL106F.JPG, Castle Peak Road nearYuen Long,821368,833929,http://tdcctv.data.one.gov.hk/YL106F.JPG,"22.331355011, 114.154170169",22.331355011,114.154170169,114.032126,22.44472407
YL111F, YL111F.JPG, Castle Peak Road near Pok Oi Interchange,821917,833889,http://tdcctv.data.one.gov.hk/YL111F.JPG,"22.336312744, 114.153781083",22.336312744,114.153781083,114.0374597,22.44436755
BC702F, BC702F.JPG, Castle Peak Road near Mai Po,824086,838533,http://tdcctv.data.one.gov.hk/BC702F.JPG,"22.355900180, 114.198864114",22.355900180,114.198864114,114.0584951,22.4863216
TP113F, TP113F.JPG, Fanling Highway near Hong Lok Yuen Road,833366,835885,http://tdcctv.data.one.gov.hk/TP113F.JPG,"22.439704744, 114.173153812",22.439704744,114.173153812,114.1486789,22.46245003
FH706F, FH706F.JPG, Fanling Highway near MTR Fanling Station,832352,839113,http://tdcctv.data.one.gov.hk/FH706F.JPG,"22.430545523, 114.204509808",22.430545523,114.204509808,114.138819,22.49159819
ST922F, ST922F.JPG, Lion Rock Tunnel Road near Hung Mui Kuk Road,836845,825101,http://tdcctv.data.one.gov.hk/ST922F.JPG,"22.471085223, 114.068370262",22.471085223,114.068370262,114.1824765,22.36506759
SW103F, SW103F.JPG, Kong Sham Western Highway near Ha Tsuen,815876,834298,http://tdcctv.data.one.gov.hk/SW103F.JPG,"22.281759373, 114.157758712",22.281759373,114.157758712,113.9787686,22.44799964
SW108F, SW108F.JPG, Yuen Long Highway near Tan Kwai Tsuen,817746,831659,http://tdcctv.data.one.gov.hk/SW108F.JPG,"22.298641613, 114.132146159",22.298641613,114.132146159,113.996966,22.42418964
TL102F, TL102F.JPG, Tai Lam Tunnel - Yuen Long Side,824319,830139,http://tdcctv.data.one.gov.hk/TL102F.JPG,"22.357994879, 114.117370122",22.357994879,114.117370122,114.0608223,22.4105218
TL103F, TL103F.JPG, Tai Lam Tunnel - Ting Kau Side,824981,826211,http://tdcctv.data.one.gov.hk/TL103F.JPG,"22.363954598, 114.079230457",22.363954598,114.079230457,114.0672797,22.3750545
TS102F, TS102F.JPG, Nam Wan Tunnel- Stonecutters Bridge side,829111,821664,http://tdcctv.data.one.gov.hk/TS102F.JPG,"22.401217911, 114.035045707",22.401217911,114.035045707,114.1074015,22.33401477
TS104F, TS104F.JPG, Tsing Sha Highway near Lai Chi Kok,832851,822646,http://tdcctv.data.one.gov.hk/TS104F.JPG,"22.434999914, 114.044550526",22.434999914,114.044550526,114.1437035,22.34289428
TS105F, TS105F.JPG, Sha Tin Heights Tunnel - Sha Tin Side,835713,825356,http://tdcctv.data.one.gov.hk/TS105F.JPG,"22.460864440, 114.070855741",22.460864440,114.070855741,114.1714857,22.36737039
TW701F, TW701F.JPG, Cheung Pei Shan Road near Mei Wan Street,829717,826375,http://tdcctv.data.one.gov.hk/TW701F.JPG,"22.406724036, 114.080793384",22.406724036,114.080793384,114.1132647,22.3765601
H702F, H702F.JPG, Western Harbour Crossing Hong Kong Side,832629,816766,http://tdcctv.data.one.gov.hk/H702F.JPG,"22.432938270, 113.987435236",22.432938270,113.987435236,114.1415618,22.28979392
H703F, H703F.JPG, Connaught Road West,832480,816741,http://tdcctv.data.one.gov.hk/H703F.JPG,"22.431592452, 113.987194220",22.431592452,113.987194220,114.1401159,22.28956784
K901F, K901F.JPG, Western Harbour Crossing Kowloon Side,834394,818348,http://tdcctv.data.one.gov.hk/K901F.JPG,"22.448894247, 114.002782579",22.448894247,114.002782579,114.1586874,22.30408318
K931F, K931F.JPG, Tate's Cairn Tunnel Kowloon Side,839086,822485,http://tdcctv.data.one.gov.hk/K931F.JPG,"22.491303227, 114.042932490",22.491303227,114.042932490,114.2042301,22.34144143
K952F, K952F.JPG, Eastern Harbour Crossing Kowloon Side,842183,818178,http://tdcctv.data.one.gov.hk/K952F.JPG,"22.519229992, 114.001042249",22.519229992,114.001042249,114.2342783,22.30253882
ST942F, ST942F.JPG, Tate's Cairn Tunnel Shatin Side,839632,826938,http://tdcctv.data.one.gov.hk/ST942F.JPG,"22.496263964, 114.086203068",22.496263964,114.086203068,114.2095398,22.38165347
K121F, K121F.JPG, Canton Road near Salisbury Road,835512,817290,http://tdcctv.data.one.gov.hk/K121F.JPG,"22.458978820, 113.992490859",22.458978820,113.992490859,114.1695379,22.29452964
TL101F, TL101F.JPG, Tsing Long Highway near Ko Po San Tsuen,823996,833151,http://tdcctv.data.one.gov.hk/TL101F.JPG,"22.355086109, 114.146613168",22.355086109,114.146613168,114.0576621,22.43771926
TR706F, TR706F.JPG, Tuen Mun Road near MTR Siu Hong Station,815928,830243,http://tdcctv.data.one.gov.hk/TR706F.JPG,"22.282219577, 114.118411367",22.282219577,114.118411367,113.9793256,22.41138192
TS101F, TS101F.JPG, Nam Wan Tunnel - Sai Tso Wan Side,827720,822707,http://tdcctv.data.one.gov.hk/TS101F.JPG,"22.388665071, 114.045186744",22.388665071,114.045186744,114.0938936,22.34342731
